date,total,android,ios,credit_cnt_total,credit_cnt_android,credit_cnt_ios,has_amount_rate,has_amount_rate_android,has_amount_rate_ios
2016-11-04,16082,6623,9459,5684,3464,2220,0.481351161154,0.428695150115,0.563513513514
2016-11-03,16895,7250,9645,5954,3820,2134,0.491266375546,0.438219895288,0.586223055295
2016-11-02,10283,7237,3046,5679,3776,1903,0.520338087691,0.475105932203,0.610089332633
2016-11-01,14992,6836,8156,5708,3631,2077,0.510511562719,0.472597080694,0.576793452094
2016-10-31,13661,6699,6962,5525,3526,1999,0.520542986425,0.476460578559,0.598299149575
2016-10-30,12229,5534,6695,4443,2779,1664,0.507765023633,0.467794170565,0.574519230769
2016-10-29,11260,5646,5614,4300,2830,1470,0.499534883721,0.458657243816,0.578231292517
2016-10-28,13544,6676,6868,5369,3425,1944,0.514248463401,0.472700729927,0.587448559671
2016-10-27,13838,6881,6957,5284,3504,1780,0.503217259652,0.460616438356,0.587078651685
2016-10-26,12595,6715,5880,4828,3453,1375,0.484672742336,0.451201853461,0.568727272727
2016-10-25,14262,6968,7294,5534,3788,1746,0.501807011203,0.472280887012,0.565864833906
2016-10-24,14512,6827,7685,5595,3747,1848,0.502770330652,0.474246063517,0.560606060606
2016-10-23,12787,5728,7059,4506,2939,1567,0.515090989791,0.468186457979,0.603063178047
2016-10-22,11548,6455,5093,4821,3201,1620,0.500725990458,0.457357075914,0.586419753086
2016-10-21,14111,7182,6929,5706,3654,2052,0.515948124781,0.468801313629,0.599902534113
2016-10-20,16840,7055,9785,6278,3835,2443,0.511787193374,0.461538461538,0.590667212444
2016-10-19,14265,6887,7378,5979,3783,2196,0.525338685399,0.480570975416,0.602459016393
2016-10-18,17454,7225,10229,6501,3988,2513,0.519612367328,0.463139418255,0.609231993633
2016-10-17,19053,6787,12266,6444,3836,2608,0.529639975171,0.478623566215,0.60467791411
2016-10-16,14413,5350,9063,5044,2901,2143,0.536677240285,0.480523957256,0.612692487168
2016-10-15,12027,5141,6886,4698,2885,1813,0.521924223074,0.465511265165,0.611693325979
2016-10-14,18009,6368,11641,5750,3595,2155,0.505391304348,0.462865090403,0.576334106729
2016-10-13,16314,5923,10391,5541,3419,2122,0.517415628948,0.47499268792,0.585768143261
2016-10-12,14292,6017,8275,5722,3507,2215,0.521495980426,0.468491588252,0.605417607223
2016-10-11,14268,6041,8227,5589,3492,2097,0.510645911612,0.463917525773,0.58845970434
2016-10-10,12876,6207,6669,5494,3525,1969,0.514197306152,0.467234042553,0.598273235145
2016-10-09,12369,5727,6642,5232,3266,1966,0.523318042813,0.470912431108,0.610376398779
2016-10-08,13112,5756,7356,5389,3372,2017,0.517906847281,0.467971530249,0.601388200297
2016-10-07,9364,4770,4594,4169,2707,1462,0.526984888462,0.489841152567,0.595759233926
2016-10-06,8770,4464,4306,4099,2597,1502,0.527201756526,0.477474008471,0.613182423435
2016-10-05,8970,4501,4469,3974,2516,1458,0.512833417212,0.472575516693,0.582304526749
2016-10-04,10594,4423,6171,3966,2443,1523,0.516389309128,0.460090053213,0.606697307945
2016-10-03,10437,4170,6267,3840,2296,1544,0.537239583333,0.4856271777,0.613989637306
2016-10-02,8098,3988,4110,3559,2219,1340,0.508007867378,0.462821090581,0.582835820896
2016-10-01,10065,4293,5772,3993,2421,1572,0.540946656649,0.482445270549,0.631043256997
2016-09-30,13229,6074,7155,5679,3549,2130,0.518401126959,0.470273316427,0.598591549296
2016-09-29,11967,5541,6426,5155,3128,2027,0.525897187197,0.471547314578,0.609768130242
